Run/Debug,Resume,F8,Debugging
Text Editing,Text End,,Editing Text
Text Editing,Toggle Folding,Numpad_Divide,Editing Text
Text Editing,Move Lines Down,乒,Editing Text
Navigate,Open Type Hierarchy,F4,In Windows
Window,Next Perspective,F8,In Windows
Server,Debug,乒D,In Servers View
Server,Run,乒R,In Servers View
Edit,Select Previous Element,把,Editing Java Source
Navigate,Backward History,乒,In Windows
Edit,Incremental Find,J,Editing Text
Window,Show View Menu,F10,In Dialogs and Windows
File,Save All,把S,In Windows
Database Tools,Debug,乒D,Editing SQL
Terminal view commands,Copy,C,Terminal Widget in Focus
Run/Debug,Debug OSGi Framework,乒D O,In Windows
Text Editing,Text Start,,Editing Text
Git,Paste Repository Path or URI,V,In Git Repositories View
Refactor - JavaScript,Rename - Refactoring ,乒R,JavaScript View
Window,Quick Access,3,In Windows
Text Editing,Line Start,,Editing Text
Source,Quick Assist - Assign to field,2 F,Editing Java Source
Source,Quick Assist - Assign to local variable,2 L,Editing Java Source
Text Editing,Delete to End of Line,"把弛,Editing Text""",
Text Editing,Collapse,Numpad_Subtract,Editing Text
Edit,Add Maven Plugin,把P,Editing XML Source
Database Tools,Execute Selected Text As One Statement,永,Editing SQL
Navigate,Previous Page,把F5,Using Web Page Editor
Text Editing,Duplicate Lines,乒,Editing Text
Source,Add Import,把M,Editing JavaScript Source
Views,JavaScript Script Explorer,乒Q P,JavaScript View
Navigate,Quick Outline,O,WikiText Markup Source Context
Refactor - JavaScript,Show Refactor Quick Menu,乒T,JavaScript View
Navigate,Open Call Hierarchy,玄,In Windows
Navigate,Next,.,In Windows
Terminal view commands,Quick Access,乒,Terminal Widget in Focus
Server,Publish,乒P,In Servers View
Views,Show View (Package Explorer),乒Q P,In Windows
Navigate,Matching Character,把P,Editing in Structured Text Editors
Text Editing,Reset Structure,把Numpad_Multiply,Editing Text
Navigate,Quick Outline,O,Editing Java Source
Source,Toggle Comment,把C,Editing Properties Files
Navigate,Go to Matching Bracket,把P,Editing JavaScript Source
Run/Debug,New Rendering,N,In Memory View
Source,Toggle Mark Occurrences,乒O,Editing JavaScript Source
Run/Debug,Debug Ant Build,乒D Q,In Windows
Task Repositories,Mark Task Complete,把永,In Tasks View
Navigate,Forward History,],In Windows
Search,References in Workspace,把G,JavaScript View
Web Page Editor Layout,Vertical Layout,把F9,Using Web Page Editor
Text Editing,Delete Line,D,Editing Text
Edit,Copy,C,In Dialogs and Windows
Navigate,Quick Outline,O,Editing in Structured Text Editors
Text Editing,Select Next Word,把乒,Editing Text
Window,Activate Editor,F12,In Windows
Navigate,Previous Page,把氾7,In Windows
Navigate,Show In Breadcrumb,乒B,Editor Breadcrumb Navigation
Edit,Previous Sibling,把,Editing in Structured Text Editors
SQL Results View,Remove Result,"弛,In Windows""",
Text Editing,Copy Lines,乒,Editing Text
Window,Toggle Full Screen,F,In Windows
Window,Toggle Split Editor (Vertical),把[,In Windows
Run/Debug,Debug on Server,把汁 R,In Windows
Edit,Matching Tag,把>,Editing in Structured Text Editors
Navigate,Go to Previous Member,乒,Editing JavaScript Source
Navigate,Show In Breadcrumb,乒B,Editing Java Source
Edit,Open Selection,F3,Editing in Structured Text Editors
File,Properties,I,In Windows
File,New menu,乒N,In Windows
Refactor - JavaScript,Move - Refactoring ,乒V,JavaScript View
Source,Quick Assist - Rename in file,2 R,Editing Java Source
Edit,Incremental Find Reverse,把J,Editing Text
Views,Show View (Type Hierarchy),乒Q T,In Windows
Edit,Quick Fix,1,In Dialogs and Windows
Run/Debug,Step Over,F6,Debugging
Git,Commit...,乒3,In Windows
Navigate,Go To Next Unread Task,乒,In Tasks View
Source,Organize Imports,把O,JavaScript View
Edit,Format,把F,Editing in Structured Text Editors
Source,Open Declaration,F3,Editing Ant Buildfiles
Task Repositories,Mark Task Unread,把白,In Tasks View
Web Page Editor Layout,Horizontal Layout,把F10,Using Web Page Editor
Project,Build All,B,In Windows
Navigate,Go to Next Member,乒,Editing Java Source
Run/Debug,Rerun JUnit Test,弗,In Windows
Run/Debug,Run JUnit Test,乒X T,In Windows
Navigate,Open Type Hierarchy,F4,JavaScript View
Source,Add Block Comment,/,Editing Java Source
Refactor - Java,Move - Refactoring ,乒V,In Windows
Window,Switch to Editor,把E,In Windows
Window,Show System Menu,把F10,In Windows
Run/Debug,Run Eclipse Application,乒X E,In Windows
Source,Remove Occurrence Annotations,乒U,Editing Java Source
Source,Add Javadoc Comment,乒J,In Windows
Navigate,Open Structure,F3,Editing JavaScript Source
Run/Debug,Java Breakpoint Properties,乒,In Breakpoints View
SQL Results View,Terminate Result,Break,In Windows
Focused UI,Focus on Active Task,把玄,In Windows
Search,Declaration in Workspace,G,JavaScript View
Window,Close Dialog,W,In Dialogs
Views,Show View (Variables),乒Q V,In Windows
Run/Debug,Execute,U,In Windows
File,Refresh,F5,In Windows
Edit,Add Block Comment,/,Editing in Structured Text Editors
Terminal view commands,Terminal view insert,田,Terminal Typing Connected
Window,Update Project,氾5,In Windows
Navigate,Open Declaration,F3,JavaScript View
Edit,Matching Tag,把.,Editing in Structured Text Editors
Text Editing,Select Text Start,把,Editing Text
Run/Debug,Add Memory Block,乒M,In Memory View
Navigate,Open Attached Javadoc,F2,In Windows
Navigate,Deactivate Task,把F9,In Windows
Database Tools,Goto Matching Token,把P,Editing SQL
Run/Debug,Run,把F11,In Windows
Edit,Find Previous,把K,Editing Text
Run/Debug,Next Page of Memory,把.,In Table Memory Rendering
JavaScript Debug,Open Source,把3,Debugging
Navigate,Open Structure,F3,Editing Java Source
Navigate,Quick Outline,O,PDE editor
Views,Show View (Javadoc),乒Q J,In Windows
Web Page Editor Layout,Source Code,把F12,Using Web Page Editor
View,Zoom In,=,In Windows
Terminal view commands,Terminal view insert,犯,Terminal Typing Connected
Task Editor,Submit Task,把申,In Tasks Editor
Text Editing,Show Tooltip Description,F2,Editing Text
Run/Debug,Run Java Application,乒X J,In Windows
Window,Select Maven Profiles,田,In Windows
